sales_name;success_rate;information
dr. Hani Pratiwi, S.Gz;36.53;Sales dr. Hani Pratiwi, S.Gz berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 36.53%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 12, dengan rincian sebagai berikut: L1 = 2, L2 = 5, L3 = 2 dan L4 = 3.
Dr. Mahfud Agustina, S.Pd;36.53;Sales Dr. Mahfud Agustina, S.Pd berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 36.53%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 13, dengan rincian sebagai berikut: L1 = 2, L2 = 5, L3 = 3 dan L4 = 3.
Maya Ramadan;36.53;Sales Maya Ramadan berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 36.53%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 9, dengan rincian sebagai berikut: L1 = 2, L2 = 1, L3 = 3 dan L4 = 3.
Drs. Safina Sudiati, S.Kom;36.47;Sales Drs. Safina Sudiati, S.Kom berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 36.47%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 9, dengan rincian sebagai berikut: L1 = 4, L2 = 0, L3 = 2 dan L4 = 3.
Arta Wahyudin;36.57;Sales Arta Wahyudin berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 36.57%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 9, dengan rincian sebagai berikut: L1 = 1, L2 = 2, L3 = 3 dan L4 = 3.
R.M. Dariati Laksmiwati;36.5;Sales R.M. Dariati Laksmiwati berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 36.5%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 12, dengan rincian sebagai berikut: L1 = 3, L2 = 5, L3 = 1 dan L4 = 3.
Puput Firgantoro;36.53;Sales Puput Firgantoro berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 36.53%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 11, dengan rincian sebagai berikut: L1 = 2, L2 = 1, L3 = 5 dan L4 = 3.
Ulva Mandala;36.57;Sales Ulva Mandala berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 36.57%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 10, dengan rincian sebagai berikut: L1 = 1, L2 = 3, L3 = 3 dan L4 = 3.
drg. Unjani Sudiati;36.57;Sales drg. Unjani Sudiati berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 36.57%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 8, dengan rincian sebagai berikut: L1 = 1, L2 = 0, L3 = 4 dan L4 = 3.
Dt. Harsana Situmorang, S.E.I;36.5;Sales Dt. Harsana Situmorang, S.E.I berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 36.5%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 7, dengan rincian sebagai berikut: L1 = 3, L2 = 1, L3 = 0 dan L4 = 3.
Pangestu Maulana;36.5;Sales Pangestu Maulana berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 36.5%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 8, dengan rincian sebagai berikut: L1 = 3, L2 = 0, L3 = 2 dan L4 = 3.
Drs. Ira Sihombing, S.H.;36.5;Sales Drs. Ira Sihombing, S.H. berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 36.5%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 10, dengan rincian sebagai berikut: L1 = 3, L2 = 4, L3 = 0 dan L4 = 3.
Reksa Puspita;36.53;Sales Reksa Puspita berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 36.53%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 12, dengan rincian sebagai berikut: L1 = 2, L2 = 0, L3 = 7 dan L4 = 3.
R. Kajen Hartati, M.TI.;36.5;Sales R. Kajen Hartati, M.TI. berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 36.5%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 14, dengan rincian sebagai berikut: L1 = 3, L2 = 5, L3 = 3 dan L4 = 3.
Dono Dabukke;36.57;Sales Dono Dabukke berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 36.57%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 9, dengan rincian sebagai berikut: L1 = 1, L2 = 4, L3 = 1 dan L4 = 3.
Mila Usamah;36.53;Sales Mila Usamah berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 36.53%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 12, dengan rincian sebagai berikut: L1 = 2, L2 = 4, L3 = 3 dan L4 = 3.
Capa Utama;36.37;Sales Capa Utama berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 36.37%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 12, dengan rincian sebagai berikut: L1 = 7, L2 = 1, L3 = 1 dan L4 = 3.
KH. Danu Halimah;36.5;Sales KH. Danu Halimah berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 36.5%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 11, dengan rincian sebagai berikut: L1 = 3, L2 = 1, L3 = 4 dan L4 = 3.
Yulia Simanjuntak;36.5;Sales Yulia Simanjuntak berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 36.5%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 10, dengan rincian sebagai berikut: L1 = 3, L2 = 4, L3 = 0 dan L4 = 3.
Sakura Wijaya;36.6;Sales Sakura Wijaya berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 36.6%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 9, dengan rincian sebagai berikut: L1 = 0, L2 = 3, L3 = 3 dan L4 = 3.
Salwa Iswahyudi;36.44;Sales Salwa Iswahyudi berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 36.44%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 12, dengan rincian sebagai berikut: L1 = 5, L2 = 2, L3 = 2 dan L4 = 3.
Aslijan Rahimah;36.5;Sales Aslijan Rahimah berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 36.5%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 10, dengan rincian sebagai berikut: L1 = 3, L2 = 2, L3 = 2 dan L4 = 3.
Faizah Hidayanto;36.5;Sales Faizah Hidayanto berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 36.5%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 9, dengan rincian sebagai berikut: L1 = 3, L2 = 2, L3 = 1 dan L4 = 3.
Ika Marpaung;36.57;Sales Ika Marpaung berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 36.57%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 7, dengan rincian sebagai berikut: L1 = 1, L2 = 2, L3 = 1 dan L4 = 3.
Maria Ardianto;36.53;Sales Maria Ardianto berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 36.53%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 10, dengan rincian sebagai berikut: L1 = 2, L2 = 1, L3 = 4 dan L4 = 3.
Ir. Zelaya Tampubolon, M.TI.;36.57;Sales Ir. Zelaya Tampubolon, M.TI. berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 36.57%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 13, dengan rincian sebagai berikut: L1 = 1, L2 = 3, L3 = 6 dan L4 = 3.
Hj. Vanya Wasita, S.I.Kom;36.53;Sales Hj. Vanya Wasita, S.I.Kom berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 36.53%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 7, dengan rincian sebagai berikut: L1 = 2, L2 = 0, L3 = 2 dan L4 = 3.
Tira Manullang;36.47;Sales Tira Manullang berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 36.47%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 9, dengan rincian sebagai berikut: L1 = 4, L2 = 2, L3 = 0 dan L4 = 3.
Cut Calista Permata;36.57;Sales Cut Calista Permata berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 36.57%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 9, dengan rincian sebagai berikut: L1 = 1, L2 = 4, L3 = 1 dan L4 = 3.
Martani Samosir, M.TI.;36.5;Sales Martani Samosir, M.TI. berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 36.5%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 11, dengan rincian sebagai berikut: L1 = 3, L2 = 5, L3 = 0 dan L4 = 3.
dr. Oni Lailasari, S.Gz;36.6;Sales dr. Oni Lailasari, S.Gz berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 36.6%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 5, dengan rincian sebagai berikut: L1 = 0, L2 = 1, L3 = 1 dan L4 = 3.
Dr. Harto Utami;36.47;Sales Dr. Harto Utami berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 36.47%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 9, dengan rincian sebagai berikut: L1 = 4, L2 = 2, L3 = 0 dan L4 = 3.
Padma Rajasa;36.5;Sales Padma Rajasa berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 36.5%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 11, dengan rincian sebagai berikut: L1 = 3, L2 = 2, L3 = 3 dan L4 = 3.
Wakiman Riyanti, M.Pd;36.57;Sales Wakiman Riyanti, M.Pd berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 36.57%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 6, dengan rincian sebagai berikut: L1 = 1, L2 = 2, L3 = 0 dan L4 = 3.
Taufik Latupono;36.44;Sales Taufik Latupono berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 36.44%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 13, dengan rincian sebagai berikut: L1 = 5, L2 = 2, L3 = 3 dan L4 = 3.
KH. Maryadi Simbolon, S.Sos;36.47;Sales KH. Maryadi Simbolon, S.Sos berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 36.47%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 9, dengan rincian sebagai berikut: L1 = 4, L2 = 1, L3 = 1 dan L4 = 3.
Galiono Wibisono;36.44;Sales Galiono Wibisono berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 36.44%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 13, dengan rincian sebagai berikut: L1 = 5, L2 = 3, L3 = 2 dan L4 = 3.
drg. Nadia Halimah;36.5;Sales drg. Nadia Halimah berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 36.5%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 16, dengan rincian sebagai berikut: L1 = 3, L2 = 5, L3 = 5 dan L4 = 3.
Dr. Elma Saputra, S.H.;36.5;Sales Dr. Elma Saputra, S.H. berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 36.5%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 12, dengan rincian sebagai berikut: L1 = 3, L2 = 1, L3 = 5 dan L4 = 3.
Karimah Putra, S.E.;36.5;Sales Karimah Putra, S.E. berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 36.5%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 11, dengan rincian sebagai berikut: L1 = 3, L2 = 3, L3 = 2 dan L4 = 3.
Bagiya Oktaviani;36.57;Sales Bagiya Oktaviani berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 36.57%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 10, dengan rincian sebagai berikut: L1 = 1, L2 = 4, L3 = 2 dan L4 = 3.
Mulya Santoso;36.6;Sales Mulya Santoso berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 36.6%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 6, dengan rincian sebagai berikut: L1 = 0, L2 = 1, L3 = 2 dan L4 = 3.
Mustofa Purwanti;36.47;Sales Mustofa Purwanti berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 36.47%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 13, dengan rincian sebagai berikut: L1 = 4, L2 = 4, L3 = 2 dan L4 = 3.
R.M. Rahman Prasetya;36.47;Sales R.M. Rahman Prasetya berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 36.47%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 10, dengan rincian sebagai berikut: L1 = 4, L2 = 2, L3 = 1 dan L4 = 3.
Tgk. Atma Rahayu;36.53;Sales Tgk. Atma Rahayu berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 36.53%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 12, dengan rincian sebagai berikut: L1 = 2, L2 = 2, L3 = 5 dan L4 = 3.
drg. Kawaca Widiastuti, S.Gz;36.47;Sales drg. Kawaca Widiastuti, S.Gz berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 36.47%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 15, dengan rincian sebagai berikut: L1 = 4, L2 = 4, L3 = 4 dan L4 = 3.
Ira Nababan;36.57;Sales Ira Nababan berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 36.57%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 10, dengan rincian sebagai berikut: L1 = 1, L2 = 2, L3 = 4 dan L4 = 3.
Alika Mansur;36.47;Sales Alika Mansur berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 36.47%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 12, dengan rincian sebagai berikut: L1 = 4, L2 = 3, L3 = 2 dan L4 = 3.
Kasiyah Aryani;36.44;Sales Kasiyah Aryani berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 36.44%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 11, dengan rincian sebagai berikut: L1 = 5, L2 = 3, L3 = 0 dan L4 = 3.
Kunthara Hutasoit;36.4;Sales Kunthara Hutasoit berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 36.4%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 15, dengan rincian sebagai berikut: L1 = 6, L2 = 4, L3 = 2 dan L4 = 3.
Ajeng Puspita;24.21;Sales Ajeng Puspita berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 24.21%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 10, dengan rincian sebagai berikut: L1 = 6, L2 = 1, L3 = 1 dan L4 = 2.
Prabawa Puspita;24.33;Sales Prabawa Puspita berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 24.33%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 7, dengan rincian sebagai berikut: L1 = 2, L2 = 2, L3 = 1 dan L4 = 2.
Ir. Narji Sihombing, S.T.;24.37;Sales Ir. Narji Sihombing, S.T. berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 24.37%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 9, dengan rincian sebagai berikut: L1 = 1, L2 = 2, L3 = 4 dan L4 = 2.
KH. Rahman Kusmawati;24.24;Sales KH. Rahman Kusmawati berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 24.24%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 11, dengan rincian sebagai berikut: L1 = 5, L2 = 3, L3 = 1 dan L4 = 2.
Hj. Rahmi Budiyanto, M.Ak;24.21;Sales Hj. Rahmi Budiyanto, M.Ak berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 24.21%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 14, dengan rincian sebagai berikut: L1 = 6, L2 = 2, L3 = 4 dan L4 = 2.
H. Adhiarja Purwanti;24.33;Sales H. Adhiarja Purwanti berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 24.33%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 6, dengan rincian sebagai berikut: L1 = 2, L2 = 1, L3 = 1 dan L4 = 2.
Luluh Wulandari;24.3;Sales Luluh Wulandari berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 24.3%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 10, dengan rincian sebagai berikut: L1 = 3, L2 = 2, L3 = 3 dan L4 = 2.
Viktor Megantara, M.M.;24.37;Sales Viktor Megantara, M.M. berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 24.37%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 7, dengan rincian sebagai berikut: L1 = 1, L2 = 2, L3 = 2 dan L4 = 2.
Daruna Megantara;24.4;Sales Daruna Megantara berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 24.4%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 7, dengan rincian sebagai berikut: L1 = 0, L2 = 1, L3 = 4 dan L4 = 2.
Jelita Anggriawan;24.3;Sales Jelita Anggriawan berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 24.3%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 10, dengan rincian sebagai berikut: L1 = 3, L2 = 2, L3 = 3 dan L4 = 2.
Fathonah Adriansyah;24.4;Sales Fathonah Adriansyah berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 24.4%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 7, dengan rincian sebagai berikut: L1 = 0, L2 = 2, L3 = 3 dan L4 = 2.
Irfan Tarihoran, M.Farm;24.3;Sales Irfan Tarihoran, M.Farm berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 24.3%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 10, dengan rincian sebagai berikut: L1 = 3, L2 = 2, L3 = 3 dan L4 = 2.
Silvia Hasanah;24.27;Sales Silvia Hasanah berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 24.27%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 11, dengan rincian sebagai berikut: L1 = 4, L2 = 3, L3 = 2 dan L4 = 2.
Lintang Rajasa;24.21;Sales Lintang Rajasa berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 24.21%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 13, dengan rincian sebagai berikut: L1 = 6, L2 = 3, L3 = 2 dan L4 = 2.
Tgk. Karimah Saefullah;24.33;Sales Tgk. Karimah Saefullah berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 24.33%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 14, dengan rincian sebagai berikut: L1 = 2, L2 = 4, L3 = 6 dan L4 = 2.
Saka Marbun;24.3;Sales Saka Marbun berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 24.3%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 8, dengan rincian sebagai berikut: L1 = 3, L2 = 2, L3 = 1 dan L4 = 2.
Mustika Yuniar, S.Ked;24.24;Sales Mustika Yuniar, S.Ked berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 24.24%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 10, dengan rincian sebagai berikut: L1 = 5, L2 = 3, L3 = 0 dan L4 = 2.
Putri Tarihoran;24.27;Sales Putri Tarihoran berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 24.27%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 15, dengan rincian sebagai berikut: L1 = 4, L2 = 6, L3 = 3 dan L4 = 2.
Hasna Salahudin, S.T.;24.33;Sales Hasna Salahudin, S.T. berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 24.33%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 11, dengan rincian sebagai berikut: L1 = 2, L2 = 3, L3 = 4 dan L4 = 2.
H. Bagiya Hutasoit, S.T.;24.37;Sales H. Bagiya Hutasoit, S.T. berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 24.37%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 5, dengan rincian sebagai berikut: L1 = 1, L2 = 2, L3 = 0 dan L4 = 2.
drg. Candrakanta Mansur;24.33;Sales drg. Candrakanta Mansur berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 24.33%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 7, dengan rincian sebagai berikut: L1 = 2, L2 = 1, L3 = 2 dan L4 = 2.
Asmuni Nasyiah;24.33;Sales Asmuni Nasyiah berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 24.33%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 8, dengan rincian sebagai berikut: L1 = 2, L2 = 4, L3 = 0 dan L4 = 2.
Jaya Budiman;24.33;Sales Jaya Budiman berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 24.33%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 9, dengan rincian sebagai berikut: L1 = 2, L2 = 2, L3 = 3 dan L4 = 2.
Baktiadi Waskita, M.M.;24.33;Sales Baktiadi Waskita, M.M. berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 24.33%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 8, dengan rincian sebagai berikut: L1 = 2, L2 = 2, L3 = 2 dan L4 = 2.
Usman Tarihoran;24.33;Sales Usman Tarihoran berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 24.33%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 12, dengan rincian sebagai berikut: L1 = 2, L2 = 4, L3 = 4 dan L4 = 2.
Jamal Wahyudin;24.27;Sales Jamal Wahyudin berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 24.27%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 10, dengan rincian sebagai berikut: L1 = 4, L2 = 2, L3 = 2 dan L4 = 2.
Tgk. Mala Prakasa, S.Pd;24.37;Sales Tgk. Mala Prakasa, S.Pd berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 24.37%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 6, dengan rincian sebagai berikut: L1 = 1, L2 = 0, L3 = 3 dan L4 = 2.
Dasa Maulana;24.3;Sales Dasa Maulana berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 24.3%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 12, dengan rincian sebagai berikut: L1 = 3, L2 = 5, L3 = 2 dan L4 = 2.
H. Nyana Suryatmi;24.33;Sales H. Nyana Suryatmi berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 24.33%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 7, dengan rincian sebagai berikut: L1 = 2, L2 = 2, L3 = 1 dan L4 = 2.
Luwes Hariyah;24.27;Sales Luwes Hariyah berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 24.27%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 11, dengan rincian sebagai berikut: L1 = 4, L2 = 4, L3 = 1 dan L4 = 2.
Zizi Kuswoyo;24.27;Sales Zizi Kuswoyo berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 24.27%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 10, dengan rincian sebagai berikut: L1 = 4, L2 = 3, L3 = 1 dan L4 = 2.
Galih Wacana;24.4;Sales Galih Wacana berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 24.4%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 6, dengan rincian sebagai berikut: L1 = 0, L2 = 3, L3 = 1 dan L4 = 2.
Hilda Prakasa;24.4;Sales Hilda Prakasa berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 24.4%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 9, dengan rincian sebagai berikut: L1 = 0, L2 = 3, L3 = 4 dan L4 = 2.
Tgk. Gandi Lailasari;24.3;Sales Tgk. Gandi Lailasari berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 24.3%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 7, dengan rincian sebagai berikut: L1 = 3, L2 = 1, L3 = 1 dan L4 = 2.
Balijan Ramadan;24.3;Sales Balijan Ramadan berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 24.3%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 13, dengan rincian sebagai berikut: L1 = 3, L2 = 3, L3 = 5 dan L4 = 2.
Ophelia Kuswandari;24.33;Sales Ophelia Kuswandari berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 24.33%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 6, dengan rincian sebagai berikut: L1 = 2, L2 = 1, L3 = 1 dan L4 = 2.
Hani Gunarto;24.3;Sales Hani Gunarto berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 24.3%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 9, dengan rincian sebagai berikut: L1 = 3, L2 = 2, L3 = 2 dan L4 = 2.
Reksa Sihotang;24.37;Sales Reksa Sihotang berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 24.37%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 8, dengan rincian sebagai berikut: L1 = 1, L2 = 2, L3 = 3 dan L4 = 2.
Cut Malika Namaga, M.Ak;24.27;Sales Cut Malika Namaga, M.Ak berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 24.27%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 11, dengan rincian sebagai berikut: L1 = 4, L2 = 1, L3 = 4 dan L4 = 2.
Puji Winarno;24.37;Sales Puji Winarno berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 24.37%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 7, dengan rincian sebagai berikut: L1 = 1, L2 = 1, L3 = 3 dan L4 = 2.
Jelita Susanti, S.E.;24.3;Sales Jelita Susanti, S.E. berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 24.3%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 9, dengan rincian sebagai berikut: L1 = 3, L2 = 1, L3 = 3 dan L4 = 2.
Padma Agustina;24.3;Sales Padma Agustina berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 24.3%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 7, dengan rincian sebagai berikut: L1 = 3, L2 = 1, L3 = 1 dan L4 = 2.
Limar Adriansyah, M.Pd;24.3;Sales Limar Adriansyah, M.Pd berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 24.3%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 10, dengan rincian sebagai berikut: L1 = 3, L2 = 2, L3 = 3 dan L4 = 2.
Yani Pranowo, S.Kom;24.27;Sales Yani Pranowo, S.Kom berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 24.27%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 18, dengan rincian sebagai berikut: L1 = 4, L2 = 4, L3 = 8 dan L4 = 2.
